,0,1,2,3,4,5,6
passion_fruit,#C70E7B,#FC6882,#A6E000,#1BB6AF,#6C6C9D,#172869,
mango,#FF5300,#9ED80B,#43B629,#1BB6AF,#8F92A1,#172869,
pure,#AFDFEF,#54BCD1,#1BB6AF,#0099D5,#007BC3,#172869,
lime,#2CB11B,#95C65C,#BDDE9B,#1BB6AF,#0076C0,#172869,
lemon,#F7AA14,#F5D000,#F7E690,#1BB6AF,#088BBE,#172869,
orange,#EF7C12,#FCA315,#F4B95A,#1BB6AF,#088BBE,#172869,
berry,#B25D91,#CB87B4,#EFC7E6,#1BB6AF,#088BBE,#172869,
cran_raspberry,#D9565C,#F28A8A,#EDA9AB,#1BB6AF,#088BBE,#172869,
pamplemousse,#EA7580,#F6A1A5,#F8CD9C,#1BB6AF,#088BBE,#172869,
peachpear,#FF3200,#E9A17C,#E9E4A6,#1BB6AF,#0076BB,#172869,
coconut,#881C00,#AF6125,#F4E3C7,#1BB6AF,#0076BB,#172869,
apricot,#D72000,#EE6100,#FFAD0A,#1BB6AF,#9093A2,#132157,
tangerine,#EF562A,#EC921D,#F7B449,#FFED00,#1BB6AF,#9093A2,#132157
keylime,#D84D16,#FFF800,#8FDA04,#009F3F,#132157,,
pomme_baya,#C23A4B,#FBBB48,#EFEF46,#31D64D,#132157,,
cherise_limon,#EE4244,#F8D961,#B6D944,#638E6E,#3C5541,#132157,
pina_fraise,#F44B4B,#F19743,#F1F1A8,#92D84F,#7473A6,#132157,
kiwi_sandia,#D18F55,#FF3F38,#FF8C8D,#AFDE62,#3CBC38,#4F5791,#132157
melon_pomelo,#EE404E,#F99D53,#F9E7C2,#24C852,#4F5791,#132157,
mure_pepino,#D64358,#EAFB88,#3C8C4D,#DFCEE0,#4F5791,#132157,
